City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,20,AU,1580585555,62,-42.78,147.06,53.6,6.93
George Town,40,MY,1580585406,83,5.41,100.34,80.6,2.24
Hermanus,91,ZA,1580585557,74,-34.42,19.23,75.99,7.0
Barrow,20,US,1580585535,95,71.29,-156.79,-31.0,6.93
Huarmey,88,PE,1580585309,51,-10.07,-78.15,83.5,10.94
Kaitangata,100,NZ,1580585561,96,-46.28,169.85,56.19,13.98
Albany,90,US,1580585280,64,42.6,-73.97,39.99,4.7
Longyearbyen,75,SJ,1580585563,92,78.22,15.64,15.8,8.05
La Libertad,20,EC,1580585564,70,-2.23,-80.9,84.2,10.29
Hobart,20,AU,1580585288,62,-42.88,147.33,53.6,6.93
Bati,54,ET,1580585567,75,11.18,40.02,64.31,3.36
Bubaque,33,GW,1580585569,78,11.28,-15.83,78.13,17.22
Punta Arenas,75,CL,1580585272,47,-53.15,-70.92,59.0,21.92
Berlevag,100,NO,1580585571,82,70.86,29.09,20.71,22.06
Hithadhoo,90,MV,1580585572,69,-0.6,73.08,82.9,11.03
Solano,20,US,1580585573,93,38.23,-121.95,64.99,4.7
Lebu,100,CL,1580585574,87,-37.62,-73.65,63.9,6.82
Jamestown,75,US,1580585575,69,42.1,-79.24,35.01,3.36
Klaksvik,96,FO,1580585577,68,62.23,-6.59,32.0,2.24
Kenora,90,CA,1580585578,63,49.82,-94.43,30.2,12.75
Pochutla,40,MX,1580585579,55,15.74,-96.47,89.6,7.99
Tarija,40,BO,1580585580,53,-21.54,-64.73,77.0,8.05
Prien,1,US,1580585581,27,30.18,-93.27,64.4,14.99
Ushuaia,75,AR,1580585534,62,-54.8,-68.3,55.4,27.51
Upernavik,100,GL,1580585584,93,72.79,-56.15,-19.08,11.63
Thompson,90,CA,1580585586,78,55.74,-97.86,15.8,9.17
Baie-Comeau,90,CA,1580585587,85,49.22,-68.15,24.01,2.21
Dunhua,0,CN,1580585588,88,43.37,128.24,-0.72,4.61
Laas,40,IT,1580585589,80,46.62,10.7,37.4,4.7
Rikitea,100,PF,1580585590,79,-23.12,-134.97,79.47,12.33
Esperance,90,AU,1580585591,72,-33.87,121.9,60.8,3.36
Bredasdorp,36,ZA,1580585592,73,-34.53,20.04,72.0,13.87
Kokopo,66,PG,1580585593,75,-4.35,152.26,83.12,16.26
Acapulco de Juarez,75,MX,1580585426,43,16.86,-99.89,87.8,8.05
Mataura,100,NZ,1580585596,94,-46.19,168.86,59.0,17.0
Saskylakh,5,RU,1580585597,93,71.92,114.08,-29.61,5.82
Tessalit,0,ML,1580585598,13,20.2,1.01,71.17,8.1
College,1,US,1580585599,82,64.86,-147.8,-18.99,1.63
Nuuk,75,GL,1580585600,78,64.18,-51.72,14.0,9.17
Dargaville,46,NZ,1580585601,67,-35.93,173.88,73.81,8.08
Arraial do Cabo,40,BR,1580585603,74,-22.97,-42.03,86.0,8.05
Kapaa,75,US,1580585605,88,22.08,-159.32,73.4,12.75
Niquelandia,64,BR,1580585606,77,-14.47,-48.46,78.51,2.57
Qaanaaq,67,GL,1580585607,88,77.48,-69.36,-24.86,5.35
Weihe,81,CN,1580585608,54,33.0,105.32,30.69,7.96
Okhotsk,80,RU,1580585610,53,59.38,143.3,-6.47,2.24
Vaini,20,TO,1580585611,78,-21.2,-175.2,78.8,10.29
Chui,0,UY,1580585614,61,-33.7,-53.46,76.46,14.38
Port Alfred,60,ZA,1580585615,94,-33.59,26.89,72.0,1.01
Maningrida,100,AU,1580585616,81,-12.07,134.27,82.49,15.5
Zakamensk,0,RU,1580585617,92,50.37,103.29,-19.79,2.73
Saint-Philippe,20,RE,1580585618,78,-21.36,55.77,78.8,14.99
Tizimin,90,MX,1580585620,65,21.15,-88.15,78.8,17.22
Cape Town,47,ZA,1580585402,88,-33.93,18.42,71.01,18.34
Garoowe,74,SO,1580585622,63,8.41,48.48,70.14,13.85
Hong Kong,20,HK,1580585456,77,22.29,114.16,63.0,16.11
Ahipara,0,NZ,1580585625,100,-35.17,173.17,66.99,11.65
Ilulissat,75,GL,1580585626,65,69.22,-51.1,6.8,6.93
Yellowknife,20,CA,1580585627,75,62.46,-114.35,-11.99,6.93
Maunabo,1,PR,1580585628,70,18.01,-65.9,84.2,11.41
Hokitika,100,NZ,1580585629,88,-42.72,170.97,64.36,21.39
Henties Bay,23,NA,1580585630,89,-22.12,14.28,63.0,3.0
Puerto Ayora,20,EC,1580585631,66,-0.74,-90.35,84.2,19.46
Plover,75,US,1580585633,69,44.46,-89.54,37.99,8.05
Atambua,98,ID,1580585634,86,-9.11,124.89,74.21,3.02
Ariquemes,33,BR,1580585635,66,-9.91,-63.04,87.21,2.66
Belle Fourche,1,US,1580585636,21,44.67,-103.85,66.99,20.8
Saint Anthony,75,US,1580585565,69,45.02,-93.22,37.4,8.05
Salalah,20,OM,1580585432,56,17.02,54.09,71.6,4.7
Novo Aripuana,97,BR,1580585641,67,-5.12,-60.38,86.31,3.36
Raudeberg,69,NO,1580585643,71,61.99,5.14,37.0,5.82
Sibu,75,MY,1580585645,94,2.3,111.82,75.2,2.24
Sao Jose da Coroa Grande,95,BR,1580585646,80,-8.9,-35.15,81.79,13.53
Tura,0,IN,1580585647,55,25.52,90.22,54.16,0.92
Burgeo,100,CA,1580585648,76,47.62,-57.62,24.08,2.57
Tuatapere,100,NZ,1580585649,94,-46.13,167.68,59.0,17.0
Buraidah,0,SA,1580585651,37,26.33,43.98,50.0,6.67
Rawson,22,AR,1580585652,49,-43.3,-65.1,73.27,18.66
Coahuayana Viejo,75,MX,1580585653,42,18.73,-103.68,82.4,11.41
Pisco,40,PE,1580585655,30,-13.7,-76.22,73.99,11.41
Chowchilla,1,US,1580585656,67,37.12,-120.26,68.0,1.9
